Rank Team                            W-L-T    Rating
582  Puget Sound                     4-5-0     -31.0
583  WPI                             4-6-0     -31.2
584  Hastings                        6-4-0     -31.2
585  Manchester                      4-6-0     -31.3
586  Edward Waters                   4-6-0     -31.3
587  SW Assem of God                 4-6-0     -31.5
588  Washington and Lee              2-8-0     -31.5
589  Cornell IA                      5-4-0     -31.6
590  Elmhurst                        5-5-0     -31.6
591  Dakota Wesleyan                 7-4-0     -31.9
592  Occidental                      5-4-0     -31.9
593  Hendrix                         6-4-0     -32.1
594  St Norbert                      6-4-0     -32.2
595  Benedictine IL                  6-4-0     -32.2
596  Rochester                       5-4-0     -32.2
597  Bluffton                        6-4-0     -32.2
598  Wilkes                          2-8-0     -32.2
599  Lindenwood-Belleville           2-8-0     -32.3
600  Hamline                         4-6-0     -32.4
601  William Paterson                4-6-0     -32.4
602  Millsaps                        3-6-0     -32.4
603  Culver-Stockton                 5-6-0     -32.4
604  Bacone                          3-8-0     -32.7
605  Husson                          8-1-0     -32.8
606  Hiram                           5-5-0     -32.9
607  Trine                           6-4-0     -32.9
608  Bluefield                       3-8-0     -33.0
609  Kean                            2-8-0     -33.1
610  Fitchburg St                    6-4-0     -33.2
611  Westfield St                    5-5-0     -33.5
612  Marietta                        2-8-0     -33.9
613  Concordia AL                    1-9-0     -34.0
614  Southern Virginia               1-9-0     -34.1
615  Lakeland                        6-4-0     -34.3
616  Carnegie Mellon                 4-6-0     -34.5
617  Dakota St                       6-5-0     -34.5
618  Loras                           3-7-0     -34.6
619  Sul Ross St                     2-8-0     -34.8
620  Wisconsin Lutheran              7-3-0     -34.9
621  Capital                         3-7-0     -35.0
622  Birmingham-Southern             3-7-0     -35.1
623  Point U.                        0-9-0     -35.9
624  McPherson                       4-7-0     -36.2
625  Bridgewater St MA               4-6-0     -36.2
626  Concordia MI                    3-8-0     -36.3
627  Berry                           2-8-0     -36.4
628  Austin                          5-5-0     -36.9
629  Carthage                        3-7-0     -37.2
630  Defiance                        3-7-0     -37.2
631  Hanover                         2-8-0     -37.6
632  UMass-Dartmouth                 4-6-0     -37.8
633  Peru St                         2-9-0     -37.9
634  Midland U.                      2-8-0     -37.9
635  Presentation                    6-4-0     -38.4
636  La Verne                        2-7-0     -38.5
637  St Olaf                         1-9-0     -38.6
638  New Jersey                      2-8-0     -38.7
639  Cheyney                         0-11-0     -38.9
640  Sewanee                         2-8-0     -39.0
641  Lincoln PA                      1-9-0     -39.1
642  Howard Payne                    4-6-0     -39.1
643  Lane                            1-8-0     -39.2
644  Castleton St                    7-3-0     -39.3
645  Nebraska Wesleyan               4-6-0     -39.3
646  St Mary KS                      4-7-0     -39.4
647  McDaniel                        1-9-0     -39.5
648  Northwestern MN                 8-2-0     -39.6
649  Wayland Baptist                 3-8-0     -39.9
650  North Park                      2-8-0     -40.1
651  Concordia WI                    5-5-0     -40.1
652  Whittier                        2-7-0     -40.6
653  LaGrange                        5-5-0     -40.7
654  Coast Guard                     3-7-0     -41.3
655  Ripon                           3-7-0     -41.4
656  Catholic                        3-7-0     -41.5
657  Norwich                         7-3-0     -41.6
658  Ferrum                          1-9-0     -41.6
659  Arizona Christian               2-7-0     -41.6
660  Misericordia                    1-9-0     -42.5
661  Averett                         2-8-0     -42.6
662  Mass Maritime                   4-6-0     -42.9
663  Millikin                        3-7-0     -43.0
664  Carleton                        2-8-0     -43.1
665  Avila                           3-8-0     -43.4
666  Pomona-Pitzer                   1-8-0     -43.7
667  Briar Cliff                     2-9-0     -43.7
668  Lake Forest                     4-6-0     -43.7
669  Merchant Marine                 2-8-0     -44.8
670  Kalamazoo                       2-8-0     -45.0
671  Bethel KS                       3-8-0     -45.1
672  Waldorf                         3-7-0     -45.5
673  Kenyon                          1-9-0     -45.7
674  Southwestern TX                 1-8-0     -45.9
675  Greensboro                      3-7-0     -46.2
676  Maine Maritime                  3-6-0     -46.7
677  Southwestern KS                 1-10-0     -46.7
678  Alma                            2-8-0     -47.1
679  Curry                           3-7-0     -47.2
680  George Fox                      1-8-0     -47.2
681  Wilmington                      0-10-0     -47.8
682  Apprentice                      1-8-0     -48.7
683  Grinnell                        3-7-0     -48.9
684  Greenville                      7-3-0     -49.2
685  SUNY-Maritime                   4-6-0     -49.2
686  Beloit                          3-7-0     -49.2
687  Grove City                      0-10-0     -49.3
688  VA-Lynchburg                    0-8-0     -49.4
689  Mount Ida                       5-5-0     -50.4
690  Oberlin                         2-8-0     -50.5
